smiles,property
CCNC(=O)Nc1nc2nc(N)ncc2cc1c3c(Cl)cccc3Cl,6.89
CC(C)(C)NC(=O)Nc1nc2nc(NCCCN3CCOCC3)ncc2cc1c4c(Cl)cccc4Cl,7.14
Cc1cccc(C)c1c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C,6.4
Cc1cc(C)c(C)c(c1C)c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C,6.15
CCN(CC)CCCNc1ncc2cc(c(NC(=O)NC(C)C)nc2n1)c3c(Cl)cccc3Cl,7.11
CCN(CC)CCCNc1ncc2cc(c(\N=C/N(C)C)nc2n1)c3c(Cl)cccc3Cl,5.0
Nc1ncc2cc(c(N)nc2n1)c3c(Cl)cccc3Cl,5.52
Nc1cc2nc(N)c(cc2cn1)c3c(Cl)cccc3Cl,5.55
Nc1ncc2cc(c(N)nc2n1)c3c(Br)cccc3Br,4.89
CN1CCN(CCCNc2ncc3cc(c(NC(=O)NCc4ccccc4)nc3n2)c5c(Cl)cccc5Cl)CC1,7.21
COc1cc(OC)cc(c1)c2cc3cnc(NC(=O)C)cc3nc2NC(=O)NC(C)(C)C,7.6
CCN(CC)CCCCNc1ncc2cc(c(NC(=O)Nc3ccccc3)nc2n1)c4c(Cl)cccc4Cl,6.96
CN1CCN(CCCCNc2ncc3cc(c(NC(=O)NC(C)(C)C)nc3n2)c4c(Cl)cccc4Cl)CC1,7.46
CCCC(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1c4c(Cl)cccc4Cl,5.43
CN1CCN(CCCNc2ncc3cc(c(NS(=O)(=O)c4ccccc4)nc3n2)c5c(Cl)cccc5Cl)CC1,7.17
CCNC(=O)Nc1nc2cc(N)ncc2cc1c3cc(OC)cc(OC)c3,7.54
CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1c3c(Cl)cccc3Cl,6.96
Nc1cc2nc(N)c(cc2cn1)c3ccccc3,4.77
CCNC(=O)Nc1nc2nc(NCCN(CC)CC)ncc2cc1c3c(Cl)cccc3Cl,5.89
CC1CCCCN1CCCNc2ncc3cc(c(NC(=O)NC(C)(C)C)nc3n2)c4c(Cl)cccc4Cl,7.22
CN1CCN(CCCNc2ncc3cc(c(NC(=O)NCC=C)nc3n2)c4c(Cl)cccc4Cl)CC1,7.46
CN1CCN(CCCNc2ncc3cc(c(NC(=O)NC45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5)nc3n2)c7c(Cl)cccc7Cl)CC1,6.92
CN1CCN(CCCNc2ncc3cc(c(NC(=O)Nc4ccc(C)cc4)nc3n2)c5c(Cl)cccc5Cl)CC1,6.96
CCCCCCCCNC(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1c4c(Cl)cccc4Cl,6.38
COC(=O)C1=C(c2ccccc2)c3ccccc3C1=O,5.29
CCN(CC)CCCNc1ncc2cc(c(N)nc2n1)c3c(Cl)cccc3Cl,5.62
CCN(CC)CCCCNc1ncc2cc(c(\N=C(/S)\NCCCN3CCOCC3)nc2n1)c4c(Cl)cccc4Cl,6.89
CCN(CC)CCCNc1ncc2cc(c(NC(=O)NC(C)(C)C)nc2n1)c3c(Cl)cccc3Cl,7.09
CC(C)N\C(=N/C(C)C)\Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1c4c(Cl)cccc4Cl,5.6
COc1cc(OC)cc(c1)c2cc3cnc(N)cc3nc2N,6.7
CN1CCN(CCCNc2ncc3cc(c(NC(=O)NC4CCCCC4)nc3n2)c5c(Cl)cccc5Cl)CC1,7.54
CN1CCN(CCCNc2ncc3cc(c(NC(=O)Nc4ccc(cc4)C(F)(F)F)nc3n2)c5c(Cl)cccc5Cl)CC1,6.21
COc1ccccc1NC(=O)Nc2nc3nc(NCCCN4CCN(C)CC4)ncc3cc2c5c(Cl)cccc5Cl,7.17
CNC(=O)Nc1nc2cc(N)ncc2cc1c3cc(OC)cc(OC)c3,7.02
COc1cc(OC)cc(c1)c2cc3cnc(NCCCN4CCOCC4)cc3nc2NC(=O)NC(C)(C)C,7.92
CN(C)CCCN(C)c1ncc2cc(c(NC(=O)NC(C)(C)C)nc2n1)c3c(Cl)cccc3Cl,5.7
CN1CCN(CCCNc2ncc3cc(c(NC(=O)NC(C)(C)C)nc3n2)c4c(Cl)cccc4Cl)CC1,7.29
CN1CCN(CCCNc2ncc3cc(c(NC(=O)Nc4ccccc4)nc3n2)c5c(Cl)cccc5Cl)CC1,7.08
CN1CCN(CCCNc2ncc3cc(c(\N=C(\N)/Nc4ccccc4)nc3n2)c5c(Cl)cccc5Cl)CC1,5.55
CCN(CC)CCCCNc1ncc2cc(c(NC(=O)NC3CCCCC3)nc2n1)c4c(Cl)cccc4Cl,7.37
CCN(CC)CCCCNc1ncc2cc(c(NC(=O)NC(C)(C)C)nc2n1)c3c(Cl)cccc3Cl,7.32
CN1CCN(CCCNc2ncc3cc(c(NC(=O)Nc4ccc(Cl)c(Cl)c4)nc3n2)c5c(Cl)cccc5Cl)CC1,6.22
CN1CCN(CCCNc2ncc3cc(c(NC(=O)Cc4ccccc4)nc3n2)c5c(Cl)cccc5Cl)CC1,5.17
CCN(CC)CCCNc1ncc2cc(c(N)nc2n1)c3c(C)cccc3C,4.75
CCNC(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1c4c(Cl)cccc4Cl,7.28
CCN(CC)CCCNc1ncc2cc(c(NC(=O)CC(C)(C)C)nc2n1)c3c(Cl)cccc3Cl,4.57
COc1cc(OC)cc(c1)c2cc3cnc(N)cc3nc2NC(=O)NC(C)(C)C,7.38
COc1cc(OC)cc(c1)c2cc3cnc(N)nc3nc2N,6.64
CCNC(=O)Nc1nc2cc(N)ncc2cc1c3ccccc3,5.89
COc1cccc(NC(=O)Nc2nc3nc(NCCCN4CCN(C)CC4)ncc3cc2c5c(Cl)cccc5Cl)c1,7.2
CCN(CC)CCCNc1ncc2cc(c(NC(=O)NC(C)(C)C)nc2n1)c3c(Br)cccc3Br,6.72
CN(C)CCNC(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1c4c(Cl)cccc4Cl,7.12
CC\N=C(/S)\Nc1nc2nc(NCCCN(CC)CC)ncc2cc1c3c(Cl)cccc3Cl,6.58
CN1CCN(CCCNc2ncc3cc(c(NC(=O)CC(C)(C)C)nc3n2)c4c(Cl)cccc4Cl)CC1,5.1
CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1c3ccccc3,5.1
CN(C)CC(C)(C)CNc1ncc2cc(c(NC(=O)NC(C)(C)C)nc2n1)c3c(Cl)cccc3Cl,6.68
CN1CCN(CCCNc2ncc3cc(c(N)nc3n2)c4c(Cl)cccc4Cl)CC1,6.35
CC(C)NC(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1c4c(Cl)cccc4Cl,7.47
CN1CCN(CCCNc2ncc3cc(c(\N=C(\S)/NC(C)(C)C)nc3n2)c4c(Cl)cccc4Cl)CC1,7.0
Cc1c(CCC(=O)O)c[nH]c1\C=C\2/C(=O)Nc3ccc(cc23)C(=O)O,6.11
Cc1c[nH]c(\C=C\2/C(=O)Nc3cccc(C)c23)c1CCC(=O)O,6.6
COc1cccc(c1)c2ccc3\C(=C\c4[nH]cc(C)c4CCC(=O)O)\C(=O)Nc3c2,6.85
Cc1[nH]c(\C=C\2/C(=O)Nc3ccccc23)c(C)c1CCC(=O)O,5.71
Cc1[nH]c(\C=C\2/C(=O)Nc3ccc(Br)cc23)c(C)c1CCC(=O)O,5.44
Cc1c(CCC(=O)O)c[nH]c1\C=C\2/C(=O)Nc3ccc(cc23)S(=O)(=O)N,6.34
COc1ccccc1c2ccc3\C(=C\c4[nH]c(C)c(CCC(=O)O)c4C)\C(=O)Nc3c2,5.4
COc1cccc(c1)c2ccc3\C(=C\c4[nH]cc(CCC(=O)O)c4C)\C(=O)Nc3c2,6.89
CCOc1cccc(c1)c2ccc3\C(=C\c4[nH]cc(C)c4CCC(=O)O)\C(=O)Nc3c2,6.57
COc1ccc2\C(=C\c3[nH]cc(CCC(=O)O)c3C)\C(=O)Nc2c1,4.5
Cc1[nH]c(\C=C\2/C(=O)Nc3ccc(cc23)C(=O)O)c(C)c1CCC(=O)O,6.55
COc1ccc(cc1)c2ccc3\C(=C\c4[nH]cc(CCC(=O)O)c4C)\C(=O)Nc3c2,5.8
Cc1c(CCC(=O)O)c[nH]c1\C=C\2/C(=O)Nc3cc(ccc23)c4ccccc4,6.0
Cc1c(CCC(=O)O)c[nH]c1\C=C\2/C(=O)Nc3ccccc23,5.0
